num_thread,collaspe,size,cputime,walltime,cache_opt
1,1,1200,8.06698,8.07755,1
2,1,1200,8.13736,4.0848,1
4,1,1200,16.2321,4.18094,1
6,1,1200,16.3708,4.18385,1
8,1,1200,16.3725,4.12145,1
10,1,1200,16.3852,4.12147,1
12,1,1200,16.4232,4.12323,1
14,1,1200,16.4175,4.13807,1
16,1,1200,16.4657,4.12997,1
18,1,1200,16.4771,4.13823,1
20,1,1200,16.4787,4.13247,1
22,1,1200,16.4809,4.13407,1
24,1,1200,16.4799,4.15336,1
26,1,1200,16.4906,4.13402,1
28,1,1200,16.4834,4.1299,1
30,1,1200,16.4823,4.13613,1
30,1,1200,16.4906,4.13218,1
40,1,1200,16.5029,4.13873,1
50,1,1200,16.5043,4.13837,1
60,1,1200,16.506,4.13578,1
70,1,1200,16.5038,4.13644,1
80,1,1200,16.5125,4.1387,1
90,1,1200,16.5128,4.13779,1
100,1,1200,16.5195,4.13852,1
110,1,1200,16.5062,4.13619,1
120,1,1200,16.5121,4.136,1
130,1,1200,16.4977,4.15582,1
140,1,1200,16.5216,4.14099,1
150,1,1200,16.4967,4.13539,1
160,1,1200,16.5121,4.13982,1
170,1,1200,16.5021,4.1431,1
180,1,1200,16.4911,4.13301,1
190,1,1200,16.4824,4.12864,1
200,1,1200,16.5051,4.13676,1
210,1,1200,16.4888,4.13396,1
220,1,1200,16.502,4.13617,1
230,1,1200,16.4929,4.13455,1
240,1,1200,16.4994,4.13466,1
250,1,1200,16.5084,4.139,1
260,1,1200,16.495,4.13716,1
270,1,1200,16.5016,4.1373,1
280,1,1200,16.4947,4.14599,1
290,1,1200,16.4811,4.13267,1
300,1,1200,16.4904,4.1361,1
310,1,1200,16.4812,4.13391,1
320,1,1200,16.4983,4.13607,1
330,1,1200,16.512,4.13733,1
340,1,1200,16.4898,4.1331,1
350,1,1200,16.4916,4.13647,1
360,1,1200,16.4886,4.13333,1
370,1,1200,16.5004,4.13484,1
380,1,1200,16.4886,4.1343,1
390,1,1200,16.4603,4.1307,1
400,1,1200,16.509,4.14023,1
410,1,1200,16.5071,4.13548,1
420,1,1200,16.4758,4.13856,1
430,1,1200,16.4849,4.14222,1
440,1,1200,16.4883,4.13279,1
450,1,1200,16.5012,4.13901,1
460,1,1200,16.4917,4.13337,1
470,1,1200,16.4884,4.1371,1
480,1,1200,16.4974,4.14401,1
490,1,1200,16.4948,4.13733,1
500,1,1200,16.4855,4.1351,1
510,1,1200,16.4912,4.137,1
520,1,1200,16.5119,4.13978,1
530,1,1200,16.505,4.13659,1
540,1,1200,16.4879,4.13427,1
550,1,1200,16.5014,4.13479,1
560,1,1200,16.4853,4.15005,1
570,1,1200,16.4697,4.13139,1
580,1,1200,16.505,4.13871,1
590,1,1200,16.4776,4.13142,1
600,1,1200,16.4995,4.14069,1
610,1,1200,16.4841,4.1343,1
620,1,1200,16.4969,4.14401,1
630,1,1200,16.493,4.13559,1
640,1,1200,16.4748,4.13586,1
650,1,1200,16.4982,4.13617,1
660,1,1200,16.4957,4.13641,1
670,1,1200,16.4997,4.13954,1
680,1,1200,16.4902,4.1354,1
690,1,1200,16.5024,4.13874,1
700,1,1200,16.4974,4.13761,1
710,1,1200,16.477,4.15225,1
720,1,1200,16.4807,4.13513,1
730,1,1200,16.4872,4.1321,1
740,1,1200,16.4945,4.13926,1
750,1,1200,16.4896,4.13413,1
760,1,1200,16.4747,4.13383,1
770,1,1200,16.489,4.13504,1
780,1,1200,16.4812,4.13626,1
790,1,1200,16.4885,4.1359,1
800,1,1200,16.5012,4.13673,1
810,1,1200,16.4691,4.13204,1
820,1,1200,16.4961,4.13661,1
830,1,1200,16.5008,4.14053,1
840,1,1200,16.4913,4.13596,1
850,1,1200,16.4842,4.13939,1
1,2,1200,7.95391,7.95449,1
2,2,1200,7.98418,3.99361,1
4,2,1200,16.2714,4.13914,1
6,2,1200,16.0404,4.16983,1
8,2,1200,16.4303,4.12147,1
10,2,1200,16.3972,4.16263,1
12,2,1200,16.4311,4.13316,1
14,2,1200,16.43,4.13488,1
16,2,1200,16.4657,4.13009,1
18,2,1200,16.5101,4.14388,1
20,2,1200,16.4924,4.13654,1
22,2,1200,16.4836,4.15486,1
24,2,1200,16.4883,4.14092,1
26,2,1200,16.4899,4.13865,1
28,2,1200,16.5059,4.1361,1
30,2,1200,16.5053,4.13818,1
30,2,1200,16.506,4.14059,1
40,2,1200,16.5097,4.14031,1
50,2,1200,16.5237,4.14076,1
60,2,1200,16.5147,4.13746,1
70,2,1200,16.5314,4.14216,1
80,2,1200,16.5302,4.1427,1
90,2,1200,16.5345,4.1439,1
100,2,1200,16.5206,4.13901,1
110,2,1200,16.533,4.14239,1
120,2,1200,16.5271,4.14209,1
130,2,1200,16.5406,4.14507,1
140,2,1200,16.5383,4.15183,1
150,2,1200,16.5228,4.13996,1
160,2,1200,16.5253,4.14108,1
170,2,1200,16.5415,4.14778,1
180,2,1200,16.5333,4.1436,1
190,2,1200,16.5378,4.14438,1
200,2,1200,16.5074,4.14479,1
210,2,1200,16.5414,4.14541,1
220,2,1200,16.5325,4.14554,1
230,2,1200,16.5345,4.144,1
240,2,1200,16.5148,4.13771,1
250,2,1200,16.539,4.14531,1
260,2,1200,16.5398,4.14592,1
270,2,1200,16.5424,4.14564,1
280,2,1200,16.5241,4.15135,1
290,2,1200,16.5386,4.14746,1
300,2,1200,16.4879,4.13365,1
310,2,1200,16.546,4.14807,1
320,2,1200,16.5384,4.14872,1
330,2,1200,16.5393,4.14775,1
340,2,1200,16.5464,4.15961,1
350,2,1200,16.5488,4.14774,1
360,2,1200,16.5382,4.14794,1
370,2,1200,16.5444,4.14672,1
380,2,1200,16.5488,4.14871,1
390,2,1200,16.5428,4.1487,1
400,2,1200,16.5139,4.14024,1
410,2,1200,16.5508,4.14726,1
420,2,1200,16.5443,4.15505,1
430,2,1200,16.5425,4.16491,1
440,2,1200,16.5432,4.14884,1
450,2,1200,16.5384,4.14748,1
460,2,1200,16.5481,4.15164,1
470,2,1200,16.5399,4.14972,1
480,2,1200,16.5393,4.14537,1
490,2,1200,16.525,4.14998,1
500,2,1200,16.5508,4.15099,1
510,2,1200,16.5518,4.15065,1
520,2,1200,16.5407,4.1469,1
530,2,1200,16.5533,4.14988,1
540,2,1200,16.548,4.15019,1
550,2,1200,16.5531,4.1497,1
560,2,1200,16.5507,4.14971,1
570,2,1200,16.5414,4.17064,1
580,2,1200,16.558,4.15177,1
590,2,1200,16.5529,4.14913,1
600,2,1200,16.5,4.13959,1
610,2,1200,16.5448,4.15236,1
620,2,1200,16.5533,4.15122,1
630,2,1200,16.548,4.15201,1
640,2,1200,16.5228,4.15219,1
650,2,1200,16.5571,4.15271,1
660,2,1200,16.5505,4.14952,1
670,2,1200,16.5489,4.15061,1
680,2,1200,16.5533,4.15058,1
690,2,1200,16.5535,4.15268,1
700,2,1200,16.5498,4.16564,1
710,2,1200,16.546,4.16112,1
720,2,1200,16.5424,4.15346,1
730,2,1200,16.5419,4.153,1
740,2,1200,16.5573,4.15321,1
750,2,1200,16.5504,4.15288,1
760,2,1200,16.5475,4.15462,1
770,2,1200,16.5543,4.15176,1
780,2,1200,16.5611,4.15169,1
790,2,1200,16.5479,4.1552,1
800,2,1200,16.5394,4.14836,1
810,2,1200,16.5502,4.1535,1
820,2,1200,16.5487,4.15293,1
830,2,1200,16.5528,4.15362,1
840,2,1200,16.5563,4.15154,1
850,2,1200,16.5435,4.15664,1
1,3,1200,7.93721,7.93796,1
2,3,1200,8.42023,4.21438,1
4,3,1200,16.8182,4.2638,1
6,3,1200,16.708,4.30906,1
8,3,1200,16.9543,4.27214,1
10,3,1200,17.014,4.29498,1
12,3,1200,16.931,4.26603,1
14,3,1200,16.9735,4.29142,1
16,3,1200,17.0279,4.26838,1
18,3,1200,17.0388,4.27616,1
20,3,1200,17.0497,4.27748,1
22,3,1200,17.0387,4.27254,1
24,3,1200,17.0536,4.27817,1
26,3,1200,17.0615,4.34669,1
28,3,1200,16.9895,4.48213,1
30,3,1200,16.913,4.82628,1
30,3,1200,17.0393,4.4037,1
40,3,1200,17.0098,4.4151,1
50,3,1200,17.0274,4.35074,1
60,3,1200,17.0412,4.32853,1
70,3,1200,17.0624,4.37307,1
80,3,1200,17.0464,4.3402,1
90,3,1200,17.0514,4.31602,1
100,3,1200,17.0389,4.33535,1
110,3,1200,17.0957,4.28582,1
120,3,1200,17.0734,4.27752,1
130,3,1200,17.0856,4.29914,1
140,3,1200,17.0998,4.28655,1
150,3,1200,17.0813,4.27969,1
160,3,1200,17.0954,4.28476,1
170,3,1200,17.1005,4.2875,1
180,3,1200,17.098,4.28624,1
190,3,1200,17.0913,4.28472,1
200,3,1200,17.0718,4.28126,1
210,3,1200,17.1054,4.28891,1
220,3,1200,17.095,4.28539,1
230,3,1200,17.0989,4.28691,1
240,3,1200,17.0886,4.28258,1
250,3,1200,17.1097,4.28732,1
260,3,1200,17.1007,4.2848,1
270,3,1200,17.0975,4.30353,1
280,3,1200,17.1016,4.28707,1
290,3,1200,17.1014,4.28636,1
300,3,1200,17.0661,4.27786,1
310,3,1200,17.0947,4.28858,1
320,3,1200,17.0937,4.28571,1
330,3,1200,17.1027,4.28695,1
340,3,1200,17.102,4.28827,1
350,3,1200,17.0915,4.28791,1
360,3,1200,17.0994,4.28527,1
370,3,1200,17.1003,4.2863,1
380,3,1200,17.1007,4.2874,1
390,3,1200,17.1027,4.28936,1
400,3,1200,17.0538,4.29179,1
410,3,1200,17.101,4.29421,1
420,3,1200,17.1054,4.28724,1
430,3,1200,17.1,4.28691,1
440,3,1200,17.0987,4.28684,1
450,3,1200,17.0929,4.29093,1
460,3,1200,17.0988,4.28948,1
470,3,1200,17.1051,4.2899,1
480,3,1200,17.1084,4.28939,1
490,3,1200,17.1013,4.28739,1
500,3,1200,17.1032,4.2862,1
510,3,1200,17.0959,4.28762,1
520,3,1200,17.1053,4.28771,1
530,3,1200,17.1032,4.2909,1
540,3,1200,17.1154,4.29058,1
550,3,1200,17.0915,4.30626,1
560,3,1200,17.0925,4.29007,1
570,3,1200,17.1165,4.28961,1
580,3,1200,17.0907,4.29136,1
590,3,1200,17.1042,4.29351,1
600,3,1200,17.0704,4.28222,1
610,3,1200,17.0935,4.29921,1
620,3,1200,17.1102,4.2912,1
630,3,1200,17.1104,4.29093,1
640,3,1200,17.0967,4.29132,1
650,3,1200,17.1184,4.29195,1
660,3,1200,17.1096,4.29017,1
670,3,1200,17.1138,4.29209,1
680,3,1200,17.097,4.29823,1
690,3,1200,17.1169,4.29376,1
700,3,1200,17.1228,4.29295,1
710,3,1200,17.1106,4.29236,1
720,3,1200,17.1071,4.29299,1
730,3,1200,17.1025,4.29213,1
740,3,1200,17.1194,4.30611,1
750,3,1200,17.106,4.29361,1
760,3,1200,17.1133,4.29565,1
770,3,1200,17.1158,4.29356,1
780,3,1200,17.1092,4.29123,1
790,3,1200,17.0863,4.29252,1
800,3,1200,17.1056,4.29154,1
810,3,1200,17.0958,4.29521,1
820,3,1200,17.1095,4.31125,1
830,3,1200,17.1123,4.29509,1
840,3,1200,17.1268,4.29436,1
850,3,1200,17.1238,4.29407,1
1,1,1200,20.4243,20.4259,0
2,1,1200,19.5236,9.76518,0
4,1,1200,37.8592,9.48948,0
6,1,1200,38.6816,9.86923,0
8,1,1200,38.5676,9.69235,0
10,1,1200,39.0302,9.89752,0
12,1,1200,39.0713,9.79985,0
14,1,1200,39.0463,9.83137,0
16,1,1200,39.3313,9.86179,0
18,1,1200,39.0423,9.81848,0
20,1,1200,38.9537,9.75986,0
22,1,1200,39.3755,9.8782,0
24,1,1200,39.1362,9.80712,0
26,1,1200,39.0707,9.79753,0
28,1,1200,39.2899,9.85281,0
30,1,1200,39.2795,9.86216,0
30,1,1200,39.848,9.98508,0
40,1,1200,39.0688,9.79192,0
50,1,1200,39.2014,9.82988,0
60,1,1200,38.9362,9.75408,0
70,1,1200,38.6233,9.67702,0
80,1,1200,38.3025,9.61111,0
90,1,1200,38.405,9.62066,0
100,1,1200,37.4788,9.39174,0
110,1,1200,37.3503,9.37575,0
120,1,1200,38.2915,9.59574,0
130,1,1200,38.0601,9.53565,0
140,1,1200,38.5555,9.65762,0
150,1,1200,37.8817,9.52622,0
160,1,1200,38.0318,9.52782,0
170,1,1200,38.0375,9.53186,0
180,1,1200,38.6924,9.69459,0
190,1,1200,38.338,9.60429,0
200,1,1200,37.6351,9.42802,0
210,1,1200,38.0125,9.52969,0
220,1,1200,37.8996,9.49627,0
230,1,1200,38.0292,9.53035,0
240,1,1200,37.6027,9.4217,0
250,1,1200,37.0483,9.28339,0
260,1,1200,38.4206,9.62551,0
270,1,1200,37.6053,9.46778,0
280,1,1200,37.4886,9.39204,0
290,1,1200,36.6121,9.17782,0
300,1,1200,38.0386,9.5283,0
310,1,1200,37.1072,9.29704,0
320,1,1200,38.6856,9.69375,0
330,1,1200,37.0022,9.27316,0
340,1,1200,37.3163,9.37376,0
350,1,1200,36.9865,9.2654,0
360,1,1200,37.2901,9.35812,0
370,1,1200,36.7506,9.20824,0
380,1,1200,37.0243,9.27736,0
390,1,1200,37.5546,9.40916,0
400,1,1200,38.3381,9.61293,0
410,1,1200,37.2024,9.31934,0
420,1,1200,37.6003,9.42389,0
430,1,1200,37.5608,9.4334,0
440,1,1200,36.7524,9.20663,0
450,1,1200,39.2416,9.86567,0
460,1,1200,38.5355,9.70887,0
470,1,1200,37.5918,9.45898,0
480,1,1200,36.9439,9.30236,0
490,1,1200,37.6929,9.48206,0
500,1,1200,36.8406,9.24383,0
510,1,1200,36.1043,9.04558,0
520,1,1200,37.4687,9.38703,0
530,1,1200,37.0136,9.29413,0
540,1,1200,37.07,9.28648,0
550,1,1200,37.8269,9.48177,0
560,1,1200,36.9997,9.27331,0
570,1,1200,36.8259,9.22853,0
580,1,1200,36.592,9.17031,0
590,1,1200,37.0758,9.30053,0
600,1,1200,38.066,9.54165,0
610,1,1200,38.4018,9.62583,0
620,1,1200,37.2725,9.3378,0
630,1,1200,37.1293,9.30433,0
640,1,1200,37.3054,9.34919,0
650,1,1200,37.0773,9.30264,0
660,1,1200,37.0373,9.28213,0
670,1,1200,37.3288,9.35184,0
680,1,1200,38.0418,9.54569,0
690,1,1200,36.8702,9.23968,0
700,1,1200,36.634,9.17951,0
710,1,1200,36.2716,9.08689,0
720,1,1200,36.0757,9.04666,0
730,1,1200,36.7307,9.20381,0
740,1,1200,36.6333,9.18235,0
750,1,1200,36.2722,9.10939,0
760,1,1200,37.2845,9.3445,0
770,1,1200,36.5527,9.15653,0
780,1,1200,37.2276,9.3494,0
790,1,1200,36.505,9.14868,0
800,1,1200,36.7078,9.19623,0
810,1,1200,37.2166,9.33074,0
820,1,1200,37.3453,9.36053,0
830,1,1200,38.4706,9.6382,0
840,1,1200,36.5276,9.15518,0
850,1,1200,36.9725,9.28278,0
1,2,1200,19.9874,19.9888,0
2,2,1200,19.4671,9.73449,0
4,2,1200,37.7809,9.46498,0
6,2,1200,38.5907,9.76632,0
8,2,1200,38.7363,9.74665,0
10,2,1200,39.346,9.92089,0
12,2,1200,39.2982,9.85223,0
14,2,1200,39.0568,9.81335,0
16,2,1200,39.0754,9.79119,0
18,2,1200,39.2197,9.83067,0
20,2,1200,39.0663,9.79731,0
22,2,1200,39.2398,9.83471,0
24,2,1200,38.9834,9.76639,0
26,2,1200,39.3059,9.86083,0
28,2,1200,39.4599,9.88283,0
30,2,1200,38.9941,9.77684,0
30,2,1200,39.2027,9.84802,0
40,2,1200,38.7826,9.72065,0
50,2,1200,38.647,9.68598,0
60,2,1200,38.8715,9.75688,0
70,2,1200,39.0748,9.78701,0
80,2,1200,38.1622,9.55873,0
90,2,1200,39.2245,9.83078,0
100,2,1200,38.5442,9.67146,0
110,2,1200,39.1682,9.8156,0
120,2,1200,38.2689,9.58398,0
130,2,1200,39.3876,9.86512,0
140,2,1200,39.4973,9.89529,0
150,2,1200,37.9392,9.52085,0
160,2,1200,38.9718,9.76362,0
170,2,1200,39.3607,9.86199,0
180,2,1200,39.4666,9.88535,0
190,2,1200,39.3119,9.84972,0
200,2,1200,37.6843,9.43765,0
210,2,1200,39.2427,9.85841,0
220,2,1200,39.3126,9.84871,0
230,2,1200,39.2486,9.83038,0
240,2,1200,37.8713,9.48947,0
250,2,1200,39.369,9.86206,0
260,2,1200,39.4135,9.8716,0
270,2,1200,39.6214,9.92641,0
280,2,1200,39.7526,9.96372,0
290,2,1200,39.3337,9.85229,0
300,2,1200,36.9164,9.26153,0
310,2,1200,39.2786,9.84156,0
320,2,1200,39.1559,9.80788,0
330,2,1200,39.3589,9.85833,0
340,2,1200,39.2355,9.83517,0
350,2,1200,39.302,9.84742,0
360,2,1200,38.8329,9.74904,0
370,2,1200,39.184,9.82043,0
380,2,1200,39.3452,9.85631,0
390,2,1200,39.1051,9.79663,0
400,2,1200,36.9871,9.27558,0
410,2,1200,39.235,9.83046,0
420,2,1200,39.368,9.8677,0
430,2,1200,39.5966,9.92354,0
440,2,1200,39.3274,9.85298,0
450,2,1200,39.0672,9.78702,0
460,2,1200,39.3431,9.87569,0
470,2,1200,39.3111,9.84833,0
480,2,1200,38.9809,9.76932,0
490,2,1200,39.2329,9.83185,0
500,2,1200,39.2662,9.83685,0
510,2,1200,39.3031,9.84921,0
520,2,1200,39.5874,9.95614,0
530,2,1200,39.3569,9.86023,0
540,2,1200,39.3372,9.85719,0
550,2,1200,39.2266,9.82864,0
560,2,1200,39.3841,9.86804,0
570,2,1200,39.2698,9.8426,0
580,2,1200,39.2606,9.84536,0
590,2,1200,39.2047,9.82086,0
600,2,1200,37.2584,9.34025,0
610,2,1200,39.3479,9.87038,0
620,2,1200,39.7134,9.95043,0
630,2,1200,39.2673,9.84002,0
640,2,1200,39.3832,9.88954,0
650,2,1200,39.3107,9.84897,0
660,2,1200,39.5129,9.90558,0
670,2,1200,39.2782,9.85797,0
680,2,1200,39.3214,9.85362,0
690,2,1200,39.224,9.8288,0
700,2,1200,39.4505,9.90423,0
710,2,1200,39.3698,9.86791,0
720,2,1200,38.6767,9.69387,0
730,2,1200,39.5663,9.91535,0
740,2,1200,39.4916,9.90145,0
750,2,1200,39.286,9.84534,0
760,2,1200,39.5796,9.92749,0
770,2,1200,39.4234,9.88008,0
780,2,1200,39.3848,9.86876,0
790,2,1200,39.6696,9.94259,0
800,2,1200,38.3048,9.59948,0
810,2,1200,39.3086,9.85402,0
820,2,1200,39.4884,9.92199,0
830,2,1200,39.3211,9.85358,0
840,2,1200,39.2792,9.84517,0
850,2,1200,39.4366,9.88569,0
1,3,1200,20.1702,20.1715,0
2,3,1200,19.5582,9.78103,0
4,3,1200,38.0724,9.54019,0
6,3,1200,38.586,9.7628,0
8,3,1200,39.0478,9.81178,0
10,3,1200,39.223,9.8736,0
12,3,1200,39.1895,9.82426,0
14,3,1200,39.1539,9.85429,0
16,3,1200,39.3355,9.87204,0
18,3,1200,39.1089,9.81261,0
20,3,1200,38.9687,9.79297,0
22,3,1200,39.4702,9.89367,0
24,3,1200,39.2284,9.82771,0
26,3,1200,39.105,9.80754,0
28,3,1200,39.2161,9.85071,0
30,3,1200,39.2545,9.83818,0
30,3,1200,39.2411,9.84384,0
40,3,1200,39.2366,9.83124,0
50,3,1200,39.0457,9.78226,0
60,3,1200,38.8809,9.74146,0
70,3,1200,39.5645,9.93223,0
80,3,1200,38.5737,9.66332,0
90,3,1200,39.4836,9.89229,0
100,3,1200,38.8606,9.73578,0
110,3,1200,39.491,9.89042,0
120,3,1200,38.3853,9.638,0
130,3,1200,39.2101,9.84735,0
140,3,1200,39.4417,9.8794,0
150,3,1200,37.974,9.51718,0
160,3,1200,38.744,9.70529,0
170,3,1200,39.4967,9.89284,0
180,3,1200,39.2792,9.83976,0
190,3,1200,39.5061,9.91798,0
200,3,1200,37.2538,9.32969,0
210,3,1200,39.4754,9.90008,0
220,3,1200,39.4684,9.88657,0
230,3,1200,39.433,9.87707,0
240,3,1200,37.2145,9.32138,0
250,3,1200,39.616,9.94759,0
260,3,1200,39.7531,9.95643,0
270,3,1200,39.6704,9.95277,0
280,3,1200,39.4528,9.88872,0
290,3,1200,39.3124,9.84659,0
300,3,1200,37.8335,9.47651,0
310,3,1200,39.5693,9.91945,0
320,3,1200,39.5585,9.90865,0
330,3,1200,39.3792,9.86814,0
340,3,1200,39.6798,9.94098,0
350,3,1200,39.6436,9.93211,0
360,3,1200,39.4524,9.9694,0
370,3,1200,39.7784,10.0281,0
380,3,1200,39.7132,10.0488,0
390,3,1200,39.7537,10.1057,0
400,3,1200,38.1983,9.63825,0
410,3,1200,39.8481,10.0824,0
420,3,1200,39.8565,10.151,0
430,3,1200,40.1659,10.1631,0
440,3,1200,39.884,10.047,0
450,3,1200,39.6704,9.99698,0
460,3,1200,39.8393,10.0365,0
470,3,1200,39.857,10.0399,0
480,3,1200,38.0712,9.59083,0
490,3,1200,39.7288,10.0295,0
500,3,1200,39.7618,10.0113,0
510,3,1200,39.6927,9.99773,0
520,3,1200,39.5739,9.92609,0
530,3,1200,39.596,9.92207,0
540,3,1200,39.5773,9.91831,0
550,3,1200,39.9685,10.037,0
560,3,1200,39.9094,10.0011,0
570,3,1200,39.8965,9.99954,0
580,3,1200,39.5622,9.93719,0
590,3,1200,39.8514,9.98472,0
600,3,1200,38.7386,9.70459,0
610,3,1200,40.044,10.0558,0
620,3,1200,39.8243,9.97692,0
630,3,1200,39.9059,10.1321,0
640,3,1200,39.5045,10.1495,0
650,3,1200,39.6934,10.1126,0
660,3,1200,39.5719,9.98196,0
670,3,1200,39.4936,9.96587,0
680,3,1200,39.5733,9.91473,0
690,3,1200,39.7313,9.95755,0
700,3,1200,39.8605,9.9961,0
710,3,1200,39.564,9.91451,0
720,3,1200,39.1831,9.82263,0
730,3,1200,39.5892,9.9614,0
740,3,1200,39.7749,9.96648,0
750,3,1200,39.3895,9.8699,0
760,3,1200,39.7568,9.96855,0
770,3,1200,39.8386,9.98211,0
780,3,1200,40.1204,10.0531,0
790,3,1200,39.4623,9.89761,0
800,3,1200,38.6939,9.69979,0
810,3,1200,39.526,9.90972,0
820,3,1200,39.5817,9.94301,0
830,3,1200,39.5907,9.92422,0
840,3,1200,39.9566,10.0161,0
850,3,1200,39.865,10.0059,0
3,1,1200,11.3122,4.2402,1
5,1,1200,16.2301,4.1639,1
3,1,1200,11.8647,4.33772,1
5,1,1200,16.0989,4.11791,1
7,1,1200,16.2482,4.12768,1
9,1,1200,16.3586,4.14805,1
11,1,1200,16.4025,4.15002,1
13,1,1200,16.3724,4.14573,1
15,1,1200,16.447,4.12371,1
17,1,1200,16.424,4.12513,1
19,1,1200,16.4726,4.13323,1
21,1,1200,16.4707,4.13657,1
23,1,1200,16.4701,4.14084,1
25,1,1200,16.4801,4.13073,1
27,1,1200,16.484,4.13598,1
29,1,1200,16.4883,4.13385,1
3,2,1200,11.7335,4.49503,1
5,2,1200,16.0488,4.17573,1
7,2,1200,16.3928,4.14254,1
9,2,1200,16.3443,4.13379,1
11,2,1200,16.4396,4.17522,1
13,2,1200,16.4139,4.139,1
15,2,1200,16.4488,4.13098,1
17,2,1200,16.438,4.137,1
19,2,1200,16.4988,4.1369,1
21,2,1200,16.4934,4.13925,1
23,2,1200,16.4926,4.13251,1
25,2,1200,16.485,4.14039,1
27,2,1200,16.4955,4.13779,1
29,2,1200,16.4964,4.13892,1
3,3,1200,12.0591,4.62037,1
5,3,1200,16.6363,4.34789,1
7,3,1200,16.8246,4.32252,1
9,3,1200,16.9881,4.28138,1
11,3,1200,16.9628,4.29537,1
13,3,1200,16.9537,4.28008,1
15,3,1200,16.9825,4.27907,1
17,3,1200,17.0235,4.27121,1
19,3,1200,17.0382,4.2715,1
21,3,1200,17.0518,4.27564,1
23,3,1200,17.0436,4.28456,1
25,3,1200,17.0466,4.27425,1
27,3,1200,17.0644,4.28074,1
29,3,1200,17.0631,4.28159,1
3,1,1200,29.1423,11.0326,0
5,1,1200,38.9047,9.97584,0
7,1,1200,38.8026,9.7995,0
9,1,1200,38.8729,9.8309,0
11,1,1200,39.1469,9.83738,0
13,1,1200,38.811,9.79648,0
15,1,1200,38.7676,9.73398,0
17,1,1200,38.9861,9.79889,0
19,1,1200,39.1137,9.80847,0
21,1,1200,39.1451,9.81639,0
23,1,1200,39.0353,9.80052,0
25,1,1200,39.297,9.8503,0
27,1,1200,39.1933,9.83091,0
29,1,1200,39.299,9.86302,0
3,2,1200,27.7575,10.5202,0
5,2,1200,38.5694,9.84182,0
7,2,1200,39.0968,9.88473,0
9,2,1200,38.9733,9.82514,0
11,2,1200,39.2814,9.88017,0
13,2,1200,39.2977,9.92891,0
15,2,1200,39.0989,9.82889,0
17,2,1200,39.1308,9.82618,0
19,2,1200,39.457,9.89961,0
21,2,1200,39.5889,9.91708,0
23,2,1200,39.456,9.89185,0
25,2,1200,40.8354,10.4684,0
27,2,1200,39.6121,9.96442,0
29,2,1200,39.2545,9.83448,0
3,3,1200,28.4097,10.7752,0
5,3,1200,38.8069,9.90382,0
7,3,1200,38.8827,9.82517,0
9,3,1200,38.9614,9.81099,0
11,3,1200,38.9213,9.78433,0
13,3,1200,39.1399,9.85171,0
15,3,1200,39.2004,9.846,0
17,3,1200,39.1616,9.82323,0
19,3,1200,39.4688,9.89881,0
21,3,1200,39.2338,9.85726,0
23,3,1200,39.3224,9.85164,0
25,3,1200,39.0821,9.79568,0
27,3,1200,39.3025,9.86045,0
29,3,1200,39.2989,9.84697,0
